descripcion,precio,titulo,ubicacion
"CRIBOSOL 30-10-10:,Es un fertilizante para todos los suelos y cultivos, plantas ornamentales, hortalizas, flores, césped, árboles frutales. Es de acción rápida para aplicaciones en cobertera. El Nitrógeno es absorbido por las raíces lo que acelera el desarrollo del cultivo y fortifica la planta, haciéndola resistente a las enfermedades y pestes. ,ANÁLISIS:,Nitrógeno: 30%,Fosforo: 10%,Potasio: 10%,PRESENTACIÓN,Funda de un Kilo: USD 3,50 más costo de envío,CRIBOS INDUSTRIAS tiene más de 56 años en la industria agrícola. Cumplimos con los estándares de calidad y comercializamos con los registros respectivos que dicta la ley. Consulta nuestra gama de productos: Semillas, abonos orgánicos, bomba a motor, insecticidas, raticidas.,Gracias por su interés.",3,"Fertilizante Cribosol 30-10-10, Abono Para Plantas",Riobamba
"Rastra agrícola de levante INDAGRO de 20 discos, con los mejores acabados del mercado, materiales de alta calidad y resistencia garantizando durabilidad, discos de 24"" de la mejor calidad chumaseras engrasables de rodamiento, cuerpos de 11"" de separación con tornillos reguladores para trabar y destrabar cuerpos y torre con tornillo para regulación.",6.000,Rastra Agricola De Levante Indagro,Montúfar
"Boquilla neumática con TEE 8MM para instalar en tuberia 8mm, ideal cabinas de desinfección.,descontamizacion,sanitizacion,instalación en autobuses,presión de trabajo hasta 140psi,tasa de flujo 80-145ml / min,tamaño de las gotas de niebla es de aproximadamente 30 micras,Rango de pulverizacion 0.6m.",7,Boquilla Aspersor Cabinas Autobuses Taxi Uber Riego Agricola,Cuenca
"*SOMOS GANAGRO TECNOLOGÍA AGROPECUARIA*,ABONO COMPUESTO 15-15-15,El uso de los fertilizantes compuestos significa un adecuado uso de técnicas de fertilización; una vez conocidas las necesidades de nutrientes de los cultivos en cuanto a N-P-K-Mg-S se refiere. La tendencia actual es de darle a la planta la mayor cantidad de nutrientes en una sola aplicación, de una manera balanceada.,Estas formulas se ajustan a las necesidades de diferentes cultivos, deficiencias del suelo, eficiencia del fertilizante, etc. Las nuevas formulas contienen Magnesio, Azufre, que también son macroelementos de fundamental importancia.,El Nitrógeno en los Vegetales (N),Estimula el rápido crecimiento, da un color verde intenso a las hojas y mejora su calidad.,Aumenta el contenido de proteínas, la producción de frutos y semillas.,Es nutrimento de los microorganismos del suelo.,El Fósforo en las Plantas (P),Estimula el desarrollo precoz de las raíces y el crecimiento de la planta.,Desarrollo rápido y vigoroso de las plantas jóvenes.,Estimula la formación de flores y la maduración de los frutos, es indispensable en la formación de la semilla.,El Potasio en las Plantas (K),Le importe a la planta vigor y resistencia a las enfermedades.,Evita la caída o volcamiento de las plantas conjuntamente con el Ca y el Mg.,Ayuda a soportar condiciones adversas, como la falta de la humedad del suelo.,Favorece la formación, transporte y acumulación de azucares y almidones.,El Magnesio en los Vegetales (Mg),Sin Mg no hay fotosíntesis, ocupa la molécula central de la clorofila.,Sirve como elemento estructural en las membranas celulares.,Las necesarias aplicaciones de K reducen la capacidad de la planta de absorber Mg. (son Antagónicos).,El Azufre en los Vegetales (Z),Permite un crecimiento más activo de las mismas.,Ayuda a mantener el color verde intenso de las hojas.,Activa la formación de nódulos en las leguminosas.,Presentación:,Saco 50kg.",24,Abono Fertilizante Compuesto Triple 15 50kg,Quito
"Abono fertilizante para cactus y suculentas,SMART CACTI – Alimento para plantas. ,Ideal para cactus, crasulas, suculentas y plantas carnívoras. ,Fertilizante de muy fácil aplicación, se pone directamente en la tierra antes de regar la planta. Puede usarlo una vez por semana en plantas débiles y cada dos o cuatro semanas para mantenimiento. ,Toda la belleza de terrarios y decoraciones estará en su punto máximo con este abono. ,Fertiliza de forma instantánea liberando los nutrientes en el momento que pone agua.,---------------------------------------------------------------------------------------------------------,Nuestro local de entrega en Quito está en el sector de la Floresta. Hacemos envíos a todo el país vía correo certificado (entrega en 24 horas) 2usd en Quito y 3.9usd en otras ciudades del Ecuador.,Recuerde que MascotaModa es una compañía limitada regida por la superintendencia de compañías. Puede hacer su compra con tranquilidad y confianza. Somos MercadoLideres.,Aceptamos efectivo, deposito o transferencia banco del Pichincha.,Aceptamos todas las tarjetas en corriente y diferido.,NO DUDE EN HACER SUS PREGUNTAS",4,Abono Fertilizante Para Cactus Suculentas Y Terrarios,Quito
"PRECIO INCLUYE IVA ,Medicador Dosificador Automático Pecuario Avícola Agrícola,El equipo GATOR-XL es un dosificador hidráulico, que usa un pistón cuya función principal es la de dar mayor precisión al momento de dosificar y también le da una mayor vida útil al equipo, cuenta con un sistema by pass el cual evita que la solución química pase por el motor, y de esta manera no dañarlo por los diversas soluciones que se usan a diario en la producción avícola, además, resiste presiones de hasta 400 PSI; es de fácil reparación por su diseño modular, con el Gator el 90% de los problemas se puede corregir en campo sin necesidad de sacarlo de granja para llevarlo hacer mantenimiento.,GATOR-XL cuenta con un filtro autolimpiable de 104 micras, protegiendo al equipo de impurezas para que la solución a dosificar sea efectiva.,El Gator-XL es la opción mundial para agregar proporcionalmente cualquier solución a un sistema de agua para ganado,avícola , agricultura, horticultura, saneamiento, tratamiento de agua, etc.,Accionado por presión del agua,Diseñado para un mantenimiento simple y de bajo costo.,Capaz de manejar una amplia variedad de productos químicos.,Hecho de trabajo pesado, construcción modular, con un motor de agua separado y una sección de bomba química, para que el motor se mantenga libre de químicos, y las partes sean de fácil acceso para el servicio.,Se instala fácilmente en el sistema de tuberías con mangueras flexibles o se puede instalar directamente en el sistema de tuberías con los conectores de unión opcionales.,Especificaciones de Gator-XL ™:,Presión máxima: 120 psi,Presión mínima de trabajo: 3 PSI,Caudal máximo: 600 GPH,Caudal mínimo: 2 GPH,Proporción de alimentación química: 1: 128",295,Medicador Dosificador Automático Pecuario Avícola Agrícola,Quito
"BOMBA DE DIAFRAGMA 12VOLTIOS IDEAL SISTEMAS DE RIEGO, INVERNADEROS, TUNELES Y CABINAS DE DESINFECCION, AUTOBUSES, AUTOMOVILES.,6L/Min 130 PSI , Bomba de Diafragma de Alta Presión de Agua Barco de Caravana etc.,Características:,1. La bomba de diafragma combina las ventajas de la bomba autoaspirante y la bomba química. Instalado en un lugar seco y bien ventilado,2. Utilizando una variedad de materiales importados resistentes a la corrosión, autocebantes, protección térmica, operación suave, marcha en vacío continua de larga duración, operación de carga continua a largo plazo.,3. Totalmente sellado, presión estable.,4. Soporte de goma puede absorber la vibración de la bomba cuando se trabaja.,5. Cuando la presión del agua es demasiado alta, la bomba se protegerá a sí misma y al trabajo normal, las tuberías de agua no estallarán, es seguro y duradero.,6. Protección de presión: protección de potencia del interruptor de presión.,7. El flujo máximo de 6 L / min, la velocidad de flujo es estable.,La presión máxima 130 PSI (9,0 kg) de presión se puede ajustar a partir de 75 PSI (5 Gongjin) -130 PSI (9,0 kg) según las diferentes necesidades. (NOTA IMPORTANTE: la presión se ajusta de manera segura desde los 75 PSI, y de manera externa ya que la bomba tiene presión fija),8. El trabajo: servicio intermitente.,9. El uso de medios: agua o solvente PH valor 5--8, aceite.,Vida de servicio: más de 500-1000 horas de trabajo continuo.,10. Características del tipo de interruptor de presión: cuando la bomba se tapa o aumenta la presión de trabajo normal la bomba se bloquea y se desactiva como método de protección, cuando la presión o tubería se libera la bomba vuelve a activarse y trabaja normalmente.,Especificación:,Voltaje: 12V,Amperios: 6A,Potencia: 70w,Presión: 0.90MPA(MAX 130PSI),Flujo: 6L / min,Temperatura del medio: 0 grados - 75 Celcius,Tamaño de entrada y salida: 10mm,Tamaño: 16.5 x 10 x 6.2 cm,Peso: 598g,Aplicación:,* Agricultura/Yate/RV/Sistema de agua presurizada de caravanas/ Food track / Ambulancias / casas rodantes y para la industria.,* Pulverizador (en vehículo, eléctrico de batería, pulverizador manual),* Llenado de líquidos y bebidas y transferencia de bebidas,* Sistemas presurizados.,*Consulte sin compromiso si su aplicación es compatible con este dispositivo.,Función especial:,*Rendimiento estable,*Autocebante, interruptor automático,*Bajo nivel de ruido, resistente a la corrosión externa.,*Ciclo de trabajo: trabajo intermitente",65,"Bomba De Diafragma Cabinas, Boquilla, Tuneles Riego Agricola",Cuenca
"GANAGRO TECNOLOGIA AGROPECUARIA.,Cada día innovando la agricultura,DESCRIPCION:,Siembra y fertiliza a la vez,Es manual,liviana y fácil de usar ,Tiene un rendimiento de siembra de una hectárea día,Viene con un kit de discos para los diferente tipos de semillas como maíz, alverja,fréjol etc.,Es regulable para diferentes distancias de siembra,Profundidad de siembra de 5 cm con constante garantizando su germinación uniforme,Estamos ubicados en el Quinche y nuestra sucursal en Pifo,Realizamos envíos a nivel nacional.,EMPAQUE:,1 Sembradora con Fertilizante,1 kit de discos para semillas",210,Sembradora Manual Con Fertilizante Hortalizas Huerto,Quito
"Fertilizante para desarrollo y crecimiento jardinería,SMART GRO - Enriquecido con 10 nutrientes.,Favorece y acelera el crecimiento de huertos. ,Composición 24 - 8 - 16 N P K,Su alto contenido en Nitrogeno proporciona a los vegetales un rápido crecimiento. ,Se usa casa 7 a 14 días en sus plantas y cultivos. Fertiliza de manera instantanea. ,Promueve resultados rápidos y satisfactorios. ,Es seguro para todo tipo de plantas, usado en las cantidades recomendadas no produce quemaduras.,Es un fertilizante soluble en agua. ,Para plantas de interior debe poner media cucharaduita 2.5ml de SMART BLOOM en 1 litro de agua.,Para plantas de exterior debe poner una cucharaduita 5ml de SMART BLOOM en 1 litro de agua.,Con esta mezcla riega sus plantas y eso es todo. Los resultados son muy rápidos.,--------------------------------------------------------------------------,Nuestro local de entrega en Quito está en el sector de la Floresta. Hacemos envíos a todo el país vía correo certificado (entrega en 24 horas) 2usd en Quito y 3.9usd en otras ciudades del Ecuador.,Recuerde que MascotaModa es una compañía limitada regida por la superintendencia de compañías. Puede hacer su compra con tranquilidad y confianza. Somos MercadoLideres.,Aceptamos efectivo, deposito o transferencia banco del Pichincha.,Aceptamos todas las tarjetas en corriente y diferido.,NO DUDE EN HACER SUS PREGUNTAS",5,Fertilizante Smart Gro Crecimiento Huertos Y Jardines,Quito
"Combo de 6 kilos cuesta 25 dólares ,Y de 14 kilos cuesta 35 dolares ,Hacemos envíos",25,Combo Acero Herramienta Agro Agrícola Grande Desde 6 A 14 Ki,Quito
